,station_id,site_name,year,gs_et,gs_etof,gs_eto,ann_et,ann_etof,ann_eto,mean_gs_flow
0,9180000,"DOLORES RIVER NEAR CISCO, UT",2010,640.504190576761,0.628330502826005,1039.34440354685,702.492258515899,0.560937647502149,1267.11080082118,790.2109289617487
1,9209400,"GREEN RIVER NEAR LA BARGE, WY",2010,564.616992285116,0.672684974538266,841.673583818661,596.765088312713,0.607777583949132,983.936461779036,1562.0054644808743
2,9260000,"LITTLE SNAKE RIVER NEAR LILY, CO",2010,591.32543714569,0.65603469283238,912.564870602562,625.652190168748,0.587865794281653,1075.1090728474,1296.4579234972678
3,9302000,"DUCHESNE RIVER NEAR RANDLETT, UT",2010,523.248350667965,0.568336565312783,936.379804249927,576.521466598856,0.52220238893837,1114.93706704177,176.7016393442623
4,9306500,"WHITE RIVER NEAR WATSON, UTAH",2010,481.581075737086,0.509028149412297,972.416551310402,526.229419320704,0.466872332231845,1149.18646693378,759.1092896174863
5,9379500,"SAN JUAN RIVER NEAR BLUFF, UT",2010,515.922086826137,0.476214032842696,1118.11033650106,592.259612255083,0.441610747855438,1377.53662830971,1458.5081967213114
6,9180000,"DOLORES RIVER NEAR CISCO, UT",2011,653.422947136372,0.656486545474738,1013.40520590234,748.099098221347,0.603978736892974,1252.75181841524,952.655737704918
7,9209400,"GREEN RIVER NEAR LA BARGE, WY",2011,555.261839698993,0.700056509080942,794.901414524359,572.889911073709,0.631644341407327,908.956350008023,3549.8251366120217
8,9260000,"LITTLE SNAKE RIVER NEAR LILY, CO",2011,575.463120732739,0.646417589279552,896.393325834871,629.858086307265,0.600757587325244,1053.28609175383,2520.498907103825
9,9302000,"DUCHESNE RIVER NEAR RANDLETT, UT",2011,540.891007721345,0.626645046132495,869.831383374754,606.766412821399,0.580035475443541,1049.26766310173,2387.1803278688526
10,9306500,"WHITE RIVER NEAR WATSON, UTAH",2011,505.750073742669,0.552654217562954,934.521307155516,582.280869009244,0.52840793597348,1119.45395091355,1780.6174863387978
11,9379500,"SAN JUAN RIVER NEAR BLUFF, UT",2011,505.400159431506,0.464513165276056,1130.35824440199,604.262497338227,0.444271981811992,1405.85006094812,1625.049180327869
12,9180000,"DOLORES RIVER NEAR CISCO, UT",2012,595.10732558363,0.568671537553632,1071.3462151484,682.063808792877,0.516897546547929,1340.62917197175,244.9169398907104
13,9209400,"GREEN RIVER NEAR LA BARGE, WY",2012,595.402728458025,0.647314023461862,923.036891489152,628.98642743319,0.589089095784468,1070.85439164971,1612.8852459016393
14,9260000,"LITTLE SNAKE RIVER NEAR LILY, CO",2012,465.055672444543,0.466376960849094,1013.15712334523,533.356972613143,0.439982962174791,1230.26947403807,290.6131147540983
15,9302000,"DUCHESNE RIVER NEAR RANDLETT, UT",2012,534.842725382887,0.538801680937856,1004.17577393076,598.129831668095,0.494420206005667,1219.70052216827,66.74426229508197
16,9306500,"WHITE RIVER NEAR WATSON, UTAH",2012,458.469703916026,0.455872292714199,1030.11676069416,516.968770742791,0.418309317362448,1261.66334051216,335.88087431693987
17,9379500,"SAN JUAN RIVER NEAR BLUFF, UT",2012,475.39857067128,0.416669409094639,1182.67310478923,570.501304151408,0.393713162471577,1499.90005850195,1158.24043715847
18,9180000,"DOLORES RIVER NEAR CISCO, UT",2013,590.287919360093,0.641456912908049,940.17984790104,656.413892552874,0.577971781707064,1147.67757092147,308.6874316939891
19,9209400,"GREEN RIVER NEAR LA BARGE, WY",2013,543.401694486228,0.680613699757515,801.661719632593,568.62640535698,0.616564570310939,925.42505842721,1096.1420765027322
20,9260000,"LITTLE SNAKE RIVER NEAR LILY, CO",2013,497.886444633504,0.566030481538196,889.96707111419,537.683014116428,0.523942704805865,1034.77133488591,315.62508196721313
21,9302000,"DUCHESNE RIVER NEAR RANDLETT, UT",2013,509.770356624808,0.583115736504048,887.487741819867,553.449663206148,0.529951745717404,1053.51579765381,72.3360655737705
22,9306500,"WHITE RIVER NEAR WATSON, UTAH",2013,469.261552904388,0.539669172305686,891.659525362322,511.404064854416,0.496753199344116,1046.51340356936,510.8251366120219
23,9379500,"SAN JUAN RIVER NEAR BLUFF, UT",2013,477.54597467137,0.467796621463394,1058.75577107744,566.480396420041,0.443745057407919,1316.77925618333,1250.2295081967213
24,9180000,"DOLORES RIVER NEAR CISCO, UT",2014,592.459776902564,0.634973042257825,948.068155531206,699.190360573993,0.588323235591112,1197.85438022643,535.5355191256831
25,9209400,"GREEN RIVER NEAR LA BARGE, WY",2014,626.397879286438,0.788015066636587,797.101467637193,666.774084931887,0.701141711419827,953.533179701979,3226.1420765027324
26,9260000,"LITTLE SNAKE RIVER NEAR LILY, CO",2014,520.129358975523,0.607123948272546,869.008470578576,600.738700484707,0.57521800498256,1056.36117329773,924.5016393442622
27,9302000,"DUCHESNE RIVER NEAR RANDLETT, UT",2014,534.820334796188,0.592742242317306,918.880426194666,625.004738996972,0.550972325687302,1145.33008922558,89.48306010928961
28,9306500,"WHITE RIVER NEAR WATSON, UTAH",2014,536.053274030412,0.60478668641299,908.481508993075,625.069682907092,0.569987019794476,1115.76509963467,995.4262295081967
29,9379500,"SAN JUAN RIVER NEAR BLUFF, UT",2014,462.904903778237,0.441947573581811,1085.22032675734,586.149834650675,0.433027605113032,1392.60216725671,1175.4098360655737
30,9180000,"DOLORES RIVER NEAR CISCO, UT",2015,630.260169953671,0.678313415450111,943.259915049396,745.115187865807,0.630125790726518,1190.19615830608,563.627868852459
