date,year,month,min_cfs,max_cfs,mean_cfs
1988-08,1988,08,329.0,622.0,466.1290322580645
1988-09,1988,09,327.0,421.0,364.8
1988-10,1988,10,348.0,390.0,367.5483870967742
1988-11,1988,11,396.0,514.0,468.73333333333335
1988-12,1988,12,310.0,430.0,366.7741935483871
1989-01,1989,01,270.0,360.0,313.8709677419355
1989-02,1989,02,230.0,380.0,270.10714285714283
1989-03,1989,03,270.0,920.0,692.5806451612904
1989-04,1989,04,653.0,1640.0,1010.4
1989-05,1989,05,670.0,2610.0,1549.258064516129
1989-06,1989,06,2000.0,5250.0,3605.3333333333335
1989-07,1989,07,2000.0,3530.0,2417.4193548387098
1989-08,1989,08,704.0,1880.0,1243.3225806451612
1989-09,1989,09,554.0,1010.0,726.1333333333333
1989-10,1989,10,586.0,707.0,634.8387096774194
1989-11,1989,11,408.0,749.0,576.7666666666667
1989-12,1989,12,470.0,740.0,593.5483870967741
1990-01,1990,01,375.0,600.0,505.48387096774195
1990-02,1990,02,280.0,445.0,380.0
1990-03,1990,03,400.0,900.0,622.4193548387096
1990-04,1990,04,980.0,1660.0,1369.3333333333333
1990-05,1990,05,865.0,2040.0,1155.967741935484
1990-06,1990,06,1770.0,7010.0,3896.0
1990-07,1990,07,1870.0,4520.0,2721.935483870968
1990-08,1990,08,651.0,1810.0,1096.7096774193549
1990-09,1990,09,539.0,996.0,677.4333333333333
1990-10,1990,10,567.0,679.0,625.8709677419355
1990-11,1990,11,500.0,754.0,686.4
1990-12,1990,12,290.0,520.0,426.4516129032258
1991-01,1991,01,350.0,390.0,363.2258064516129
1991-02,1991,02,360.0,480.0,444.64285714285717
1991-03,1991,03,480.0,710.0,563.8709677419355
1991-04,1991,04,736.0,2130.0,1042.8666666666666
1991-05,1991,05,713.0,5930.0,2394.3548387096776
1991-06,1991,06,2720.0,10000.0,6029.0
1991-07,1991,07,1420.0,2530.0,1979.032258064516
1991-08,1991,08,824.0,1640.0,1157.483870967742
1991-09,1991,09,646.0,1280.0,928.2333333333333
1991-10,1991,10,574.0,889.0,673.1290322580645
1991-11,1991,11,520.0,978.0,707.5
1991-12,1991,12,430.0,540.0,469.35483870967744
1992-01,1992,01,360.0,460.0,420.64516129032256
1992-02,1992,02,390.0,740.0,507.9310344827586
1992-03,1992,03,715.0,1200.0,895.4193548387096
1992-04,1992,04,442.0,858.0,626.1
1992-05,1992,05,600.0,2270.0,1370.8064516129032
1992-06,1992,06,737.0,1890.0,1080.1
1992-07,1992,07,758.0,1620.0,1090.3548387096773
1992-08,1992,08,368.0,872.0,563.7096774193549
1992-09,1992,09,381.0,479.0,424.23333333333335
1992-10,1992,10,385.0,584.0,429.5483870967742
1992-11,1992,11,400.0,600.0,510.46666666666664
1992-12,1992,12,360.0,400.0,375.48387096774195
1993-01,1993,01,360.0,390.0,372.258064516129
1993-02,1993,02,340.0,370.0,356.7857142857143
1993-03,1993,03,350.0,1300.0,584.516129032258
1993-04,1993,04,895.0,1340.0,1090.5666666666666
1993-05,1993,05,909.0,7000.0,3415.1935483870966
1993-06,1993,06,3260.0,7470.0,5083.0
1993-07,1993,07,1810.0,4310.0,2959.032258064516
1993-08,1993,08,1190.0,3690.0,2580.0
1993-09,1993,09,610.0,1070.0,735.1
1993-10,1993,10,559.0,948.0,750.8387096774194
1993-11,1993,11,350.0,857.0,612.2666666666667
1993-12,1993,12,400.0,450.0,412.5806451612903
1994-01,1994,01,400.0,440.0,432.9032258064516
1994-02,1994,02,400.0,600.0,486.07142857142856
1994-03,1994,03,600.0,800.0,693.6129032258065
1994-04,1994,04,722.0,1750.0,1157.6666666666667
1994-05,1994,05,1040.0,5180.0,2610.3225806451615
1994-06,1994,06,1020.0,3500.0,1815.0
1994-07,1994,07,597.0,990.0,710.1935483870968
1994-08,1994,08,437.0,801.0,576.5483870967741
1994-09,1994,09,374.0,477.0,423.46666666666664
1994-10,1994,10,428.0,676.0,564.4193548387096
1994-11,1994,11,400.0,627.0,504.8333333333333
1994-12,1994,12,390.0,520.0,442.5806451612903
1995-01,1995,01,300.0,540.0,404.19354838709677
1995-02,1995,02,350.0,520.0,412.14285714285717
1995-03,1995,03,410.0,1000.0,686.4193548387096
1995-04,1995,04,697.0,1280.0,849.7666666666667
