date,year,month,min_cfs,max_cfs,mean_cfs
1980-01,1980,01,129.0,308.0,206.3548387096774
1980-02,1980,02,194.0,551.0,286.55172413793105
1980-03,1980,03,192.0,270.0,222.19354838709677
1980-04,1980,04,220.0,10400.0,3641.5
1980-05,1980,05,4630.0,9750.0,6620.645161290323
1980-06,1980,06,2410.0,7000.0,4576.666666666667
1980-07,1980,07,213.0,2350.0,923.8064516129032
1980-08,1980,08,113.0,348.0,177.25806451612902
1980-09,1980,09,82.0,232.0,128.26666666666668
1980-10,1980,10,79.0,188.0,124.09677419354838
1980-11,1980,11,104.0,151.0,133.3
1980-12,1980,12,109.0,167.0,144.8709677419355
1981-01,1981,01,110.0,170.0,138.19354838709677
1981-02,1981,02,105.0,154.0,133.17857142857142
1981-03,1981,03,116.0,147.0,131.80645161290323
1981-04,1981,04,134.0,1020.0,491.53333333333336
1981-05,1981,05,170.0,1630.0,505.7096774193548
1981-06,1981,06,269.0,1600.0,767.1666666666666
1981-07,1981,07,180.0,1550.0,496.19354838709677
1981-08,1981,08,94.0,236.0,135.3548387096774
1981-09,1981,09,121.0,504.0,223.3
1981-10,1981,10,118.0,1400.0,280.61290322580646
1981-11,1981,11,142.0,229.0,191.76666666666668
1981-12,1981,12,123.0,218.0,159.0
1982-01,1982,01,100.0,180.0,135.6451612903226
1982-02,1982,02,140.0,292.0,210.71428571428572
1982-03,1982,03,219.0,568.0,317.4516129032258
1982-04,1982,04,280.0,5290.0,2198.5666666666666
1982-05,1982,05,2150.0,5370.0,3082.2580645161293
1982-06,1982,06,1840.0,3490.0,2370.6666666666665
1982-07,1982,07,446.0,1990.0,875.3225806451613
1982-08,1982,08,331.0,2820.0,764.1935483870968
1982-09,1982,09,370.0,2380.0,871.9
1982-10,1982,10,327.0,850.0,475.5806451612903
1982-11,1982,11,259.0,381.0,296.1333333333333
1982-12,1982,12,247.0,390.0,293.38709677419354
1983-01,1983,01,240.0,295.0,258.8709677419355
1983-02,1983,02,224.0,415.0,306.25
1983-03,1983,03,437.0,1670.0,789.258064516129
1983-04,1983,04,850.0,10300.0,3188.5
1983-05,1983,05,5110.0,14000.0,8488.387096774193
1983-06,1983,06,4690.0,12600.0,6877.333333333333
1983-07,1983,07,1240.0,4030.0,2144.1935483870966
1983-08,1983,08,520.0,1510.0,939.4516129032259
1983-09,1983,09,255.0,548.0,345.56666666666666
1983-10,1983,10,225.0,638.0,333.35483870967744
1983-11,1983,11,205.0,263.0,242.76666666666668
1983-12,1983,12,226.0,313.0,255.38709677419354
1984-01,1984,01,183.0,238.0,216.6451612903226
1984-02,1984,02,224.0,340.0,267.6896551724138
1984-03,1984,03,340.0,713.0,508.2903225806452
1984-04,1984,04,445.0,10600.0,3769.5
1984-05,1984,05,3210.0,13300.0,8874.838709677419
1984-06,1984,06,2350.0,7200.0,3676.0
1984-07,1984,07,760.0,2220.0,1284.8387096774193
1984-08,1984,08,595.0,1040.0,751.8064516129032
1984-09,1984,09,307.0,840.0,436.6
1984-10,1984,10,298.0,672.0,470.4516129032258
1984-11,1984,11,286.0,406.0,335.6666666666667
1984-12,1984,12,210.0,534.0,305.03225806451616
1985-01,1985,01,170.0,639.0,334.61290322580646
1985-02,1985,02,132.0,478.0,292.2142857142857
1985-03,1985,03,259.0,2500.0,1270.032258064516
1985-04,1985,04,1480.0,10000.0,6131.333333333333
1985-05,1985,05,3200.0,8950.0,4921.290322580645
1985-06,1985,06,1300.0,6280.0,3378.3333333333335
1985-07,1985,07,573.0,1200.0,800.1290322580645
1985-08,1985,08,167.0,582.0,295.19354838709677
1985-09,1985,09,179.0,978.0,368.2
1985-10,1985,10,308.0,1380.0,476.9032258064516
1985-11,1985,11,259.0,364.0,306.6333333333333
1985-12,1985,12,200.0,412.0,273.741935483871
1986-01,1986,01,182.0,278.0,226.96774193548387
1986-02,1986,02,197.0,374.0,272.85714285714283
1986-03,1986,03,448.0,2270.0,836.7741935483871
1986-04,1986,04,2340.0,5300.0,3247.6666666666665
1986-05,1986,05,2930.0,7430.0,3893.8709677419356
1986-06,1986,06,1230.0,4600.0,2568.3333333333335
1986-07,1986,07,577.0,1700.0,1223.9354838709678
1986-08,1986,08,268.0,1190.0,389.9032258064516
1986-09,1986,09,232.0,1620.0,529.1333333333333
1986-10,1986,10,339.0,1160.0,616.8709677419355
1986-11,1986,11,475.0,1680.0,894.0666666666667
1986-12,1986,12,376.0,872.0,605.7741935483871
1987-01,1987,01,300.0,518.0,370.4193548387097
1987-02,1987,02,440.0,680.0,518.2857142857143
1987-03,1987,03,441.0,1700.0,896.0322580645161
1987-04,1987,04,453.0,7320.0,4235.666666666667
1987-05,1987,05,2530.0,7290.0,4811.290322580645
1987-06,1987,06,2100.0,3800.0,2847.6666666666665
1987-07,1987,07,548.0,1890.0,859.0645161290323
1987-08,1987,08,286.0,2730.0,664.6774193548387
1987-09,1987,09,168.0,520.0,319.8
1987-10,1987,10,173.0,418.0,257.0967741935484
1987-11,1987,11,220.0,1200.0,398.4
1987-12,1987,12,199.0,362.0,264.80645161290323
1988-01,1988,01,150.0,210.0,178.29032258064515
1988-02,1988,02,170.0,797.0,325.55172413793105
1988-03,1988,03,265.0,1370.0,488.0
1988-04,1988,04,528.0,1500.0,899.4
1988-05,1988,05,729.0,2190.0,1307.0
1988-06,1988,06,707.0,1510.0,1014.3666666666667
1988-07,1988,07,192.0,885.0,413.7741935483871
1988-08,1988,08,155.0,472.0,263.51612903225805
1988-09,1988,09,173.0,1140.0,325.5
1988-10,1988,10,184.0,304.0,226.5483870967742
1988-11,1988,11,219.0,343.0,263.6666666666667
1988-12,1988,12,130.0,326.0,253.90322580645162
1989-01,1989,01,130.0,315.0,203.5483870967742
1989-02,1989,02,180.0,419.0,257.7857142857143
1989-03,1989,03,278.0,1070.0,702.7741935483871
1989-04,1989,04,708.0,1880.0,1458.6666666666667
1989-05,1989,05,458.0,1120.0,780.8064516129032
1989-06,1989,06,241.0,556.0,410.73333333333335
1989-07,1989,07,89.0,513.0,212.7741935483871
1989-08,1989,08,99.0,389.0,193.1290322580645
1989-09,1989,09,51.0,103.0,80.56666666666666
1989-10,1989,10,79.0,214.0,132.96774193548387
1989-11,1989,11,117.0,183.0,160.13333333333333
1989-12,1989,12,100.0,130.0,114.54838709677419
1990-01,1990,01,95.0,160.0,109.48387096774194
1990-02,1990,02,155.0,224.0,189.67857142857142
1990-03,1990,03,73.0,223.0,141.8709677419355
1990-04,1990,04,68.0,500.0,177.36666666666667
1990-05,1990,05,273.0,657.0,396.741935483871
1990-06,1990,06,261.0,997.0,508.5
1990-07,1990,07,74.0,672.0,235.09677419354838
1990-08,1990,08,34.0,252.0,91.0
1990-09,1990,09,48.0,391.0,144.86666666666667
1990-10,1990,10,170.0,991.0,301.6774193548387
1990-11,1990,11,111.0,180.0,145.16666666666666
1990-12,1990,12,108.0,215.0,156.06451612903226
1991-01,1991,01,140.0,180.0,160.96774193548387
1991-02,1991,02,150.0,270.0,208.92857142857142
1991-03,1991,03,110.0,263.0,176.93548387096774
1991-04,1991,04,155.0,1830.0,931.5
1991-05,1991,05,519.0,2130.0,1296.6451612903227
1991-06,1991,06,383.0,1090.0,763.7333333333333
1991-07,1991,07,176.0,470.0,293.0967741935484
1991-08,1991,08,103.0,420.0,208.25806451612902
1991-09,1991,09,98.0,512.0,216.8
1991-10,1991,10,106.0,178.0,139.3548387096774
1991-11,1991,11,145.0,366.0,185.16666666666666
1991-12,1991,12,119.0,221.0,171.67741935483872
1992-01,1992,01,94.0,189.0,130.83870967741936
1992-02,1992,02,105.0,319.0,214.41379310344828
1992-03,1992,03,178.0,454.0,245.8709677419355
1992-04,1992,04,507.0,3290.0,2148.8333333333335
1992-05,1992,05,2180.0,6200.0,3063.548387096774
1992-06,1992,06,576.0,3540.0,1476.0
1992-07,1992,07,274.0,870.0,474.258064516129
1992-08,1992,08,128.0,334.0,208.3548387096774
1992-09,1992,09,89.0,165.0,127.23333333333333
1992-10,1992,10,85.0,325.0,156.4516129032258
1992-11,1992,11,142.0,325.0,185.83333333333334
1992-12,1992,12,100.0,188.0,145.93548387096774
1993-01,1993,01,140.0,325.0,206.5483870967742
1993-02,1993,02,190.0,588.0,283.17857142857144
1993-03,1993,03,258.0,2940.0,866.4516129032259
1993-04,1993,04,1620.0,11300.0,5338.333333333333
1993-05,1993,05,5000.0,12900.0,8802.58064516129
1993-06,1993,06,2210.0,7840.0,3749.0
1993-07,1993,07,304.0,2160.0,876.6129032258065
1993-08,1993,08,227.0,640.0,320.93548387096774
1993-09,1993,09,100.0,546.0,214.2
1993-10,1993,10,121.0,303.0,210.6451612903226
1993-11,1993,11,134.0,214.0,178.8
1993-12,1993,12,125.0,180.0,151.93548387096774
1994-01,1994,01,150.0,198.0,170.80645161290323
1994-02,1994,02,127.0,290.0,169.14285714285714
1994-03,1994,03,200.0,401.0,278.83870967741933
1994-04,1994,04,286.0,1320.0,713.7
1994-05,1994,05,928.0,3330.0,2474.451612903226
1994-06,1994,06,473.0,2880.0,1430.2333333333333
1994-07,1994,07,74.0,441.0,194.93548387096774
1994-08,1994,08,68.0,296.0,96.74193548387096
1994-09,1994,09,67.0,238.0,124.36666666666666
1994-10,1994,10,165.0,240.0,189.74193548387098
1994-11,1994,11,153.0,199.0,173.03333333333333
1994-12,1994,12,138.0,228.0,169.48387096774192
1995-01,1995,01,127.0,194.0,159.2258064516129
1995-02,1995,02,142.0,188.0,168.39285714285714
1995-03,1995,03,223.0,1800.0,706.1290322580645
1995-04,1995,04,481.0,3090.0,1606.9666666666667
1995-05,1995,05,3590.0,5820.0,4481.612903225807
1995-06,1995,06,2730.0,5620.0,3895.3333333333335
1995-07,1995,07,735.0,3700.0,1827.1935483870968
1995-08,1995,08,369.0,882.0,527.1290322580645
1995-09,1995,09,203.0,667.0,317.53333333333336
1995-10,1995,10,201.0,489.0,247.38709677419354
1995-11,1995,11,157.0,222.0,189.46666666666667
1995-12,1995,12,111.0,212.0,179.83870967741936
1996-01,1996,01,140.0,209.0,160.3548387096774
1996-02,1996,02,154.0,258.0,202.6206896551724
1996-03,1996,03,145.0,241.0,179.4516129032258
1996-04,1996,04,206.0,868.0,526.7
1996-05,1996,05,336.0,1150.0,836.741935483871
1996-06,1996,06,312.0,621.0,453.43333333333334
1996-07,1996,07,89.0,402.0,201.6451612903226
1996-08,1996,08,56.0,122.0,73.29032258064517
1996-09,1996,09,72.0,308.0,164.03333333333333
1996-10,1996,10,131.0,1820.0,360.93548387096774
1996-11,1996,11,144.0,334.0,210.66666666666666
1996-12,1996,12,118.0,281.0,174.03225806451613
1997-01,1997,01,108.0,167.0,135.6451612903226
1997-02,1997,02,119.0,238.0,179.28571428571428
1997-03,1997,03,190.0,2970.0,1037.4516129032259
1997-04,1997,04,1220.0,4610.0,2848.3333333333335
1997-05,1997,05,4010.0,6350.0,5106.774193548387
1997-06,1997,06,1440.0,4820.0,2987.0
1997-07,1997,07,484.0,1420.0,722.6774193548387
1997-08,1997,08,294.0,1060.0,576.3548387096774
1997-09,1997,09,277.0,929.0,463.0
1997-10,1997,10,298.0,693.0,383.93548387096774
1997-11,1997,11,215.0,357.0,270.6666666666667
1997-12,1997,12,153.0,318.0,233.19354838709677
1998-01,1998,01,194.0,275.0,221.96774193548387
1998-02,1998,02,182.0,239.0,213.42857142857142
1998-03,1998,03,175.0,2020.0,559.0967741935484
1998-04,1998,04,900.0,5250.0,2444.1666666666665
1998-05,1998,05,2370.0,6880.0,3834.8387096774195
1998-06,1998,06,963.0,2580.0,1450.0666666666666
1998-07,1998,07,325.0,1050.0,625.9032258064516
1998-08,1998,08,154.0,353.0,209.90322580645162
1998-09,1998,09,116.0,326.0,169.7
1998-10,1998,10,120.0,574.0,207.0
1998-11,1998,11,165.0,457.0,230.4
1998-12,1998,12,123.0,211.0,169.93548387096774
1999-01,1999,01,121.0,190.0,158.06451612903226
1999-02,1999,02,125.0,199.0,167.21428571428572
1999-03,1999,03,139.0,420.0,259.9032258064516
1999-04,1999,04,273.0,1660.0,594.9
1999-05,1999,05,1000.0,4110.0,2007.4193548387098
1999-06,1999,06,1020.0,2930.0,1794.3333333333333
1999-07,1999,07,532.0,1370.0,828.0645161290323
1999-08,1999,08,576.0,1450.0,916.6129032258065
1999-09,1999,09,327.0,1460.0,778.9666666666667
1999-10,1999,10,220.0,391.0,253.96774193548387
1999-11,1999,11,151.0,223.0,199.56666666666666
1999-12,1999,12,145.0,241.0,189.80645161290323
2000-01,2000,01,140.0,232.0,181.0
2000-02,2000,02,136.0,211.0,180.20689655172413
2000-03,2000,03,150.0,364.0,213.16129032258064
2000-04,2000,04,319.0,2510.0,1504.4666666666667
2000-05,2000,05,1030.0,2540.0,1669.032258064516
2000-06,2000,06,248.0,1100.0,541.6666666666666
2000-07,2000,07,90.0,233.0,151.2258064516129
2000-08,2000,08,65.0,283.0,121.7741935483871
2000-09,2000,09,91.0,198.0,123.0
2000-10,2000,10,118.0,402.0,191.93548387096774
2000-11,2000,11,136.0,250.0,179.8
2000-12,2000,12,116.0,184.0,144.8709677419355
2001-01,2001,01,88.0,132.0,110.0
2001-02,2001,02,90.0,171.0,145.78571428571428
2001-03,2001,03,122.0,361.0,184.16129032258064
2001-04,2001,04,309.0,1670.0,810.0333333333333
2001-05,2001,05,733.0,1300.0,1006.0
2001-06,2001,06,340.0,839.0,548.2
2001-07,2001,07,92.0,506.0,260.03225806451616
2001-08,2001,08,83.0,585.0,262.4193548387097
2001-09,2001,09,74.0,160.0,102.93333333333334
2001-10,2001,10,63.7,188.0,112.4258064516129
2001-11,2001,11,90.9,153.0,121.56666666666666
2001-12,2001,12,94.0,170.0,126.58064516129032
2002-01,2002,01,94.0,112.0,103.48387096774194
2002-02,2002,02,105.0,154.0,125.35714285714286
2002-03,2002,03,103.0,167.0,132.19354838709677
2002-04,2002,04,119.0,401.0,228.93333333333334
2002-05,2002,05,80.0,164.0,113.16451612903225
