date,year,month,min_cfs,max_cfs,mean_cfs
1980-01,1980,01,95.0,143.0,124.16129032258064
1980-02,1980,02,59.0,135.0,89.06896551724138
1980-03,1980,03,62.0,1200.0,363.4516129032258
1980-04,1980,04,697.0,3660.0,1779.5333333333333
1980-05,1980,05,2880.0,5930.0,3952.2580645161293
1980-06,1980,06,832.0,3280.0,2203.7
1980-07,1980,07,26.0,2180.0,365.4516129032258
1980-08,1980,08,1.6,28.0,11.796774193548387
1980-09,1980,09,7.4,48.0,22.166666666666668
1980-10,1980,10,22.0,220.0,102.35483870967742
1980-11,1980,11,94.0,204.0,148.7
1980-12,1980,12,86.0,94.0,91.61290322580645
1981-01,1981,01,74.0,86.0,78.3225806451613
1981-02,1981,02,80.0,250.0,141.64285714285714
1981-03,1981,03,209.0,296.0,246.25806451612902
1981-04,1981,04,212.0,1100.0,599.6666666666666
1981-05,1981,05,760.0,3690.0,1548.2903225806451
1981-06,1981,06,72.0,2450.0,1061.8333333333333
1981-07,1981,07,18.0,205.0,68.58064516129032
1981-08,1981,08,4.0,112.0,18.580645161290324
1981-09,1981,09,0.06,13.0,4.109
1981-10,1981,10,0.06,1080.0,264.81225806451613
1981-11,1981,11,100.0,250.0,155.53333333333333
1981-12,1981,12,105.0,173.0,145.2258064516129
1982-01,1982,01,128.0,128.0,128.0
1982-02,1982,02,128.0,145.0,129.25
1982-03,1982,03,150.0,407.0,287.5806451612903
1982-04,1982,04,269.0,2580.0,833.4666666666667
1982-05,1982,05,2240.0,5440.0,3205.483870967742
1982-06,1982,06,2540.0,3620.0,3046.3333333333335
1982-07,1982,07,274.0,2400.0,958.5483870967741
1982-08,1982,08,22.0,340.0,143.25806451612902
1982-09,1982,09,11.0,503.0,121.26666666666667
1982-10,1982,10,50.0,686.0,187.03225806451613
1982-11,1982,11,80.0,200.0,122.0
1982-12,1982,12,50.0,120.0,81.29032258064517
1983-01,1983,01,50.0,50.0,50.0
1983-02,1983,02,50.0,300.0,85.0
1983-03,1983,03,270.0,600.0,418.38709677419354
1983-04,1983,04,275.0,2250.0,735.9
1983-05,1983,05,1460.0,7100.0,3125.483870967742
1983-06,1983,06,3230.0,6450.0,4601.0
1983-07,1983,07,536.0,2880.0,1330.2903225806451
1983-08,1983,08,76.0,543.0,263.1290322580645
1983-09,1983,09,47.0,328.0,104.6
1983-10,1983,10,158.0,385.0,250.06451612903226
1983-11,1983,11,100.0,250.0,203.56666666666666
1983-12,1983,12,190.0,225.0,203.70967741935485
1984-01,1984,01,200.0,210.0,201.93548387096774
1984-02,1984,02,160.0,200.0,186.20689655172413
1984-03,1984,03,160.0,749.0,323.5483870967742
1984-04,1984,04,621.0,3730.0,1467.6666666666667
1984-05,1984,05,1220.0,13400.0,5966.774193548387
1984-06,1984,06,2300.0,7940.0,4579.0
1984-07,1984,07,397.0,2200.0,1023.258064516129
1984-08,1984,08,180.0,684.0,321.2258064516129
1984-09,1984,09,160.0,442.0,271.73333333333335
1984-10,1984,10,247.0,342.0,279.80645161290323
1984-11,1984,11,180.0,316.0,258.56666666666666
1984-12,1984,12,180.0,220.0,196.7741935483871
1985-01,1985,01,150.0,190.0,171.29032258064515
1985-02,1985,02,170.0,190.0,188.21428571428572
1985-03,1985,03,190.0,1320.0,497.38709677419354
1985-04,1985,04,549.0,4430.0,2017.2666666666667
1985-05,1985,05,2570.0,5390.0,3540.0
1985-06,1985,06,608.0,2530.0,1423.3666666666666
1985-07,1985,07,128.0,633.0,291.48387096774195
1985-08,1985,08,40.0,412.0,107.8225806451613
1985-09,1985,09,24.9,134.0,52.53333333333333
1985-10,1985,10,119.0,306.0,224.67741935483872
1985-11,1985,11,200.0,350.0,266.6666666666667
1985-12,1985,12,125.0,300.0,190.32258064516128
1986-01,1986,01,150.0,200.0,170.16129032258064
1986-02,1986,02,150.0,2530.0,595.0714285714286
1986-03,1986,03,389.0,1360.0,636.3870967741935
1986-04,1986,04,1160.0,2920.0,1735.0
1986-05,1986,05,1930.0,4800.0,2987.0967741935483
1986-06,1986,06,852.0,4790.0,2540.1666666666665
1986-07,1986,07,174.0,828.0,370.4193548387097
1986-08,1986,08,54.0,305.0,95.6774193548387
1986-09,1986,09,46.0,482.0,115.26666666666667
1986-10,1986,10,217.0,681.0,317.2258064516129
1986-11,1986,11,194.0,315.0,254.96666666666667
1986-12,1986,12,100.0,200.0,147.58064516129033
1987-01,1987,01,80.0,150.0,116.45161290322581
1987-02,1987,02,140.0,300.0,224.78571428571428
1987-03,1987,03,253.0,1740.0,573.0645161290323
1987-04,1987,04,307.0,2170.0,1401.8
1987-05,1987,05,799.0,2040.0,1292.3870967741937
1987-06,1987,06,27.0,804.0,342.73333333333335
1987-07,1987,07,9.3,42.0,20.925806451612903
1987-08,1987,08,2.0,29.0,10.745161290322581
1987-09,1987,09,6.1,31.0,13.953333333333335
1987-10,1987,10,7.4,82.0,30.903225806451612
1987-11,1987,11,69.0,179.0,113.63333333333334
1987-12,1987,12,33.0,166.0,87.6774193548387
1988-01,1988,01,74.0,98.0,88.87096774193549
1988-02,1988,02,89.0,102.0,93.96551724137932
1988-03,1988,03,90.0,1980.0,416.6774193548387
1988-04,1988,04,348.0,1640.0,903.4333333333333
1988-05,1988,05,1130.0,4480.0,2177.4193548387098
1988-06,1988,06,342.0,2510.0,1357.0
1988-07,1988,07,2.7,333.0,81.35806451612903
1988-08,1988,08,1.3,5.3,3.403225806451613
1988-09,1988,09,1.2,17.0,8.833333333333334
1988-10,1988,10,1.2,93.0,21.03548387096774
1988-11,1988,11,43.0,132.0,84.86666666666666
1988-12,1988,12,73.0,92.0,79.29032258064517
1989-01,1989,01,76.0,95.0,86.29032258064517
1989-02,1989,02,68.0,105.0,88.92857142857143
1989-03,1989,03,68.0,735.0,379.4516129032258
1989-04,1989,04,416.0,2030.0,1109.7
1989-05,1989,05,533.0,1340.0,908.8709677419355
1989-06,1989,06,86.0,879.0,395.96666666666664
1989-07,1989,07,2.7,146.0,22.55806451612903
1989-08,1989,08,0.19,37.0,8.83516129032258
1989-09,1989,09,0.0,61.0,12.946666666666665
1989-10,1989,10,2.3,78.0,15.970967741935485
1989-11,1989,11,30.0,109.0,74.36666666666666
1989-12,1989,12,74.0,145.0,105.90322580645162
1990-01,1990,01,68.0,82.0,72.93548387096774
1990-02,1990,02,27.0,68.0,53.642857142857146
1990-03,1990,03,30.0,490.0,239.32258064516128
1990-04,1990,04,316.0,1280.0,750.2
1990-05,1990,05,527.0,1160.0,750.4193548387096
1990-06,1990,06,178.0,2480.0,1028.7666666666667
1990-07,1990,07,20.0,155.0,73.12903225806451
1990-08,1990,08,0.1,22.0,12.235161290322582
1990-09,1990,09,0.0,9.6,2.3583333333333334
1990-10,1990,10,1.2,131.0,57.23548387096774
1990-11,1990,11,21.0,139.0,62.2
1990-12,1990,12,40.0,78.0,58.16129032258065
1991-01,1991,01,34.0,63.0,47.25806451612903
1991-02,1991,02,48.0,128.0,69.64285714285714
1991-03,1991,03,128.0,309.0,207.16129032258064
1991-04,1991,04,170.0,899.0,501.1666666666667
1991-05,1991,05,416.0,2640.0,1551.3548387096773
