date,year,month,min_cfs,max_cfs,mean_cfs
1980-01,1980,01,120.0,200.0,162.41935483870967
1980-02,1980,02,145.0,345.0,265.2413793103448
1980-03,1980,03,151.0,348.0,226.83870967741936
1980-04,1980,04,70.0,366.0,199.3
1980-05,1980,05,147.0,1520.0,527.1935483870968
1980-06,1980,06,632.0,5620.0,2777.1666666666665
1980-07,1980,07,76.0,1450.0,381.7096774193548
1980-08,1980,08,42.0,201.0,84.38709677419355
1980-09,1980,09,96.0,924.0,246.1
1980-10,1980,10,116.0,765.0,296.0967741935484
1980-11,1980,11,317.0,434.0,368.96666666666664
1980-12,1980,12,407.0,611.0,526.5806451612904
1981-01,1981,01,209.0,460.0,338.16129032258067
1981-02,1981,02,101.0,404.0,265.9642857142857
1981-03,1981,03,88.0,211.0,170.48387096774192
1981-04,1981,04,41.0,168.0,101.66666666666667
1981-05,1981,05,54.0,955.0,205.41935483870967
1981-06,1981,06,51.0,2560.0,913.4
1981-07,1981,07,51.0,158.0,76.90322580645162
1981-08,1981,08,48.0,93.0,66.0
1981-09,1981,09,43.0,192.0,83.8
1981-10,1981,10,75.0,597.0,227.80645161290323
1981-11,1981,11,133.0,304.0,174.43333333333334
1981-12,1981,12,220.0,404.0,311.80645161290323
1982-01,1982,01,290.0,530.0,445.4193548387097
1982-02,1982,02,370.0,920.0,630.3571428571429
1982-03,1982,03,424.0,670.0,564.9354838709677
1982-04,1982,04,224.0,796.0,551.2
1982-05,1982,05,294.0,3400.0,1073.6774193548388
1982-06,1982,06,1500.0,3480.0,2462.3333333333335
1982-07,1982,07,140.0,2650.0,762.4516129032259
1982-08,1982,08,118.0,373.0,187.48387096774192
1982-09,1982,09,145.0,2820.0,545.9
1982-10,1982,10,1240.0,1900.0,1404.516129032258
1982-11,1982,11,764.0,1480.0,1025.3333333333333
1982-12,1982,12,874.0,1050.0,984.0645161290323
1983-01,1983,01,880.0,1080.0,973.0
1983-02,1983,02,817.0,1040.0,913.25
1983-03,1983,03,944.0,1520.0,1202.2903225806451
1983-04,1983,04,477.0,993.0,836.0333333333333
1983-05,1983,05,501.0,5480.0,1391.032258064516
1983-06,1983,06,5980.0,11500.0,7988.0
1983-07,1983,07,769.0,5290.0,2492.0967741935483
1983-08,1983,08,558.0,1310.0,877.8064516129032
1983-09,1983,09,567.0,1360.0,787.7
1983-10,1983,10,967.0,1880.0,1529.258064516129
1983-11,1983,11,1180.0,1730.0,1443.3333333333333
1983-12,1983,12,1050.0,1560.0,1352.5806451612902
1984-01,1984,01,1050.0,1290.0,1245.8064516129032
1984-02,1984,02,700.0,1160.0,963.9655172413793
1984-03,1984,03,593.0,1600.0,1016.258064516129
1984-04,1984,04,465.0,1130.0,703.8333333333334
1984-05,1984,05,506.0,5900.0,2300.2903225806454
1984-06,1984,06,1440.0,4730.0,2343.3333333333335
1984-07,1984,07,612.0,1730.0,1040.0645161290322
1984-08,1984,08,478.0,1260.0,843.3870967741935
1984-09,1984,09,471.0,1160.0,745.9
1984-10,1984,10,710.0,1510.0,1123.774193548387
1984-11,1984,11,613.0,1140.0,1013.9666666666667
1984-12,1984,12,560.0,850.0,706.258064516129
1985-01,1985,01,480.0,750.0,593.2258064516129
1985-02,1985,02,430.0,550.0,470.7142857142857
1985-03,1985,03,474.0,1060.0,714.4193548387096
1985-04,1985,04,228.0,725.0,466.73333333333335
1985-05,1985,05,442.0,1910.0,1184.225806451613
1985-06,1985,06,414.0,2630.0,1050.0666666666666
1985-07,1985,07,110.0,872.0,347.4193548387097
1985-08,1985,08,98.9,341.0,190.15806451612903
1985-09,1985,09,238.0,641.0,344.6
1985-10,1985,10,178.0,404.0,279.38709677419354
1985-11,1985,11,405.0,550.0,478.8
1985-12,1985,12,460.0,595.0,522.2903225806451
1986-01,1986,01,440.0,540.0,483.2258064516129
1986-02,1986,02,370.0,1900.0,774.2142857142857
1986-03,1986,03,608.0,909.0,794.9032258064516
1986-04,1986,04,408.0,1090.0,637.8333333333334
1986-05,1986,05,633.0,5600.0,1757.6774193548388
1986-06,1986,06,2520.0,9400.0,5501.333333333333
1986-07,1986,07,228.0,2260.0,817.5806451612904
1986-08,1986,08,130.0,335.0,222.90322580645162
1986-09,1986,09,350.0,784.0,485.93333333333334
1986-10,1986,10,329.0,1120.0,706.4193548387096
1986-11,1986,11,655.0,911.0,798.9666666666667
1986-12,1986,12,416.0,936.0,678.1612903225806
1987-01,1987,01,360.0,812.0,552.1290322580645
1987-02,1987,02,386.0,633.0,505.5
1987-03,1987,03,499.0,843.0,620.1612903225806
1987-04,1987,04,110.0,574.0,325.0
