date,year,month,min_cfs,max_cfs,mean_cfs
1994-08,1994,08,65.0,291.0,141.58064516129033
1994-09,1994,09,158.0,325.0,228.1
1994-10,1994,10,329.0,410.0,363.3225806451613
1994-11,1994,11,160.0,377.0,279.23333333333335
1994-12,1994,12,140.0,200.0,175.96774193548387
1995-01,1995,01,150.0,270.0,181.38709677419354
1995-02,1995,02,340.0,485.0,416.60714285714283
1995-03,1995,03,320.0,440.0,376.2903225806452
1995-04,1995,04,285.0,597.0,450.3333333333333
1995-05,1995,05,639.0,2280.0,1517.8064516129032
1995-06,1995,06,2180.0,4660.0,3333.3333333333335
1995-07,1995,07,947.0,3590.0,2433.1290322580644
1995-08,1995,08,451.0,922.0,608.4516129032259
1995-09,1995,09,429.0,800.0,516.6
1995-10,1995,10,470.0,721.0,549.3548387096774
1995-11,1995,11,439.0,562.0,485.2
1995-12,1995,12,215.0,506.0,396.7096774193548
1996-01,1996,01,350.0,430.0,393.2903225806452
1996-02,1996,02,370.0,520.0,416.2068965517241
1996-03,1996,03,360.0,721.0,490.5806451612903
1996-04,1996,04,598.0,1130.0,810.8
1996-05,1996,05,974.0,3190.0,1922.5806451612902
1996-06,1996,06,1160.0,2340.0,1817.3333333333333
1996-07,1996,07,464.0,1090.0,706.1612903225806
1996-08,1996,08,281.0,535.0,358.6774193548387
1996-09,1996,09,238.0,547.0,399.2
1996-10,1996,10,440.0,608.0,501.61290322580646
1996-11,1996,11,456.0,662.0,543.4
1996-12,1996,12,183.0,594.0,453.19354838709677
1997-01,1997,01,220.0,665.0,402.51612903225805
1997-02,1997,02,300.0,470.0,406.42857142857144
1997-03,1997,03,400.0,1770.0,774.6451612903226
1997-04,1997,04,522.0,1110.0,712.2333333333333
1997-05,1997,05,991.0,3020.0,2134.8709677419356
1997-06,1997,06,1580.0,3890.0,2833.6666666666665
1997-07,1997,07,732.0,1470.0,928.5806451612904
1997-08,1997,08,679.0,1360.0,820.8387096774194
1997-09,1997,09,596.0,3120.0,1135.1
1997-10,1997,10,796.0,1120.0,920.1612903225806
1997-11,1997,11,409.0,832.0,715.8666666666667
1997-12,1997,12,311.0,691.0,559.9354838709677
1998-01,1998,01,335.0,500.0,413.0
1998-02,1998,02,430.0,759.0,527.3928571428571
1998-03,1998,03,454.0,1540.0,781.3548387096774
1998-04,1998,04,1000.0,1980.0,1265.3333333333333
1998-05,1998,05,2290.0,3820.0,3013.548387096774
1998-06,1998,06,2090.0,3310.0,2513.3333333333335
1998-07,1998,07,808.0,2110.0,1246.1935483870968
1998-08,1998,08,480.0,1030.0,625.7741935483871
1998-09,1998,09,327.0,547.0,454.73333333333335
1998-10,1998,10,513.0,738.0,635.1612903225806
1998-11,1998,11,478.0,648.0,561.7333333333333
1998-12,1998,12,312.0,745.0,513.6451612903226
1999-01,1999,01,405.0,520.0,468.4516129032258
1999-02,1999,02,380.0,608.0,461.75
1999-03,1999,03,499.0,626.0,557.0
1999-04,1999,04,489.0,1160.0,669.5666666666667
1999-05,1999,05,947.0,2940.0,1625.8064516129032
1999-06,1999,06,1030.0,3130.0,2089.0
1999-07,1999,07,548.0,956.0,714.258064516129
1999-08,1999,08,426.0,708.0,543.8709677419355
1999-09,1999,09,282.0,576.0,419.6
1999-10,1999,10,393.0,505.0,441.64516129032256
1999-11,1999,11,328.0,548.0,449.3
1999-12,1999,12,345.0,452.0,403.93548387096774
2000-01,2000,01,370.0,520.0,456.61290322580646
2000-02,2000,02,380.0,470.0,418.48275862068965
2000-03,2000,03,413.0,503.0,435.35483870967744
2000-04,2000,04,404.0,1300.0,646.4
2000-05,2000,05,860.0,2820.0,1552.5483870967741
2000-06,2000,06,455.0,3020.0,1046.8333333333333
2000-07,2000,07,179.0,408.0,285.741935483871
2000-08,2000,08,61.0,475.0,201.1290322580645
2000-09,2000,09,187.0,578.0,349.73333333333335
2000-10,2000,10,380.0,443.0,400.0967741935484
2000-11,2000,11,249.0,423.0,335.8666666666667
2000-12,2000,12,205.0,345.0,301.2258064516129
2001-01,2001,01,262.0,371.0,330.0967741935484
2001-02,2001,02,360.0,407.0,380.60714285714283
2001-03,2001,03,403.0,655.0,486.96774193548384
2001-04,2001,04,408.0,1040.0,544.4666666666667
2001-05,2001,05,892.0,2150.0,1537.225806451613
2001-06,2001,06,420.0,1880.0,999.6666666666666
2001-07,2001,07,240.0,569.0,368.38709677419354
2001-08,2001,08,225.0,565.0,293.48387096774195
2001-09,2001,09,193.0,378.0,264.2
2001-10,2001,10,273.0,542.0,381.03225806451616
2001-11,2001,11,248.0,387.0,339.8666666666667
2001-12,2001,12,213.0,305.0,237.16129032258064
2002-01,2002,01,290.0,360.0,314.2903225806452
2002-02,2002,02,300.0,362.0,328.82142857142856
2002-03,2002,03,284.0,627.0,433.741935483871
2002-04,2002,04,445.0,635.0,524.5666666666667
2002-05,2002,05,308.0,677.0,447.741935483871
2002-06,2002,06,56.1,454.0,187.12
2002-07,2002,07,18.8,153.0,73.09354838709677
2002-08,2002,08,55.4,149.0,100.67096774193548
2002-09,2002,09,67.0,384.0,207.17999999999998
2002-10,2002,10,286.0,386.0,317.6774193548387
2002-11,2002,11,220.0,389.0,312.1
2002-12,2002,12,105.0,375.0,223.70967741935485
2003-01,2003,01,220.0,500.0,354.6774193548387
2003-02,2003,02,165.0,758.0,360.67857142857144
2003-03,2003,03,290.0,993.0,388.0
2003-04,2003,04,323.0,732.0,460.3333333333333
2003-05,2003,05,426.0,3300.0,1360.8387096774193
2003-06,2003,06,732.0,3950.0,1870.5666666666666
2003-07,2003,07,187.0,686.0,357.9032258064516
2003-08,2003,08,100.0,269.0,169.61290322580646
2003-09,2003,09,150.0,536.0,305.6
2003-10,2003,10,283.0,335.0,301.51612903225805
2003-11,2003,11,295.0,446.0,360.93333333333334
2003-12,2003,12,250.0,405.0,319.80645161290323
2004-01,2004,01,245.0,260.0,249.83870967741936
2004-02,2004,02,250.0,378.0,307.55172413793105
2004-03,2004,03,289.0,503.0,376.9032258064516
2004-04,2004,04,389.0,692.0,532.5333333333333
2004-05,2004,05,672.0,1480.0,1033.483870967742
2004-06,2004,06,403.0,1190.0,724.4666666666667
2004-07,2004,07,215.0,506.0,324.7741935483871
2004-08,2004,08,93.6,337.0,148.93870967741935
2004-09,2004,09,125.0,474.0,245.13333333333333
2004-10,2004,10,340.0,442.0,380.258064516129
2004-11,2004,11,330.0,427.0,389.46666666666664
2004-12,2004,12,192.0,480.0,326.2258064516129
2005-01,2005,01,330.0,1590.0,493.83870967741933
2005-02,2005,02,259.0,474.0,349.32142857142856
2005-03,2005,03,308.0,462.0,378.03225806451616
2005-04,2005,04,367.0,1050.0,631.1333333333333
2005-05,2005,05,818.0,2860.0,1586.032258064516
2005-06,2005,06,1630.0,3120.0,2160.6666666666665
2005-07,2005,07,396.0,1510.0,735.9354838709677
2005-08,2005,08,304.0,550.0,397.51612903225805
2005-09,2005,09,232.0,510.0,327.6333333333333
2005-10,2005,10,389.0,615.0,484.48387096774195
2005-11,2005,11,339.0,494.0,426.8
2005-12,2005,12,325.0,600.0,459.8709677419355
2006-01,2006,01,335.0,575.0,452.80645161290323
2006-02,2006,02,288.0,478.0,396.60714285714283
2006-03,2006,03,341.0,981.0,465.51612903225805
2006-04,2006,04,461.0,1700.0,948.6333333333333
2006-05,2006,05,1620.0,2770.0,2090.3225806451615
2006-06,2006,06,516.0,2290.0,1336.0666666666666
2006-07,2006,07,348.0,743.0,487.38709677419354
2006-08,2006,08,275.0,525.0,364.83870967741933
2006-09,2006,09,194.0,743.0,379.1666666666667
2006-10,2006,10,462.0,1100.0,639.2258064516129
2006-11,2006,11,340.0,540.0,459.26666666666665
2006-12,2006,12,240.0,439.0,330.741935483871
2007-01,2007,01,200.0,340.0,261.19354838709677
2007-02,2007,02,250.0,320.0,291.92857142857144
2007-03,2007,03,218.0,847.0,603.0967741935484
